Price,Open,High,Low,Vol.,Change %
6412.68,6687.47,6807.96,6164.43,1.44B,-0.05
6770.66,6477.04,6840.6,6424.3,957.04M,0.06
6896.60,6742.15,6897.53,6740.48,637.97M,0.02
6811.04,6933.82,7003.14,6645.03,983.64M,-0.01
7101.18,6777.63,7101.31,6753.83,857.63M,0.04
7019.95,7122.47,7186.09,7010.01,1.08B,-0.01
6508.09,6945.97,6949.02,6507.84,1.02B,-0.07
6581.13,6644.4,6793.5,6410.04,958.13M,0.01
6433.21,6528.23,6632.21,6322.6,1.02B,-0.02
6628.34,6488.48,6703.31,6466.04,787.73M,0.03
6667.75,6675.92,6856.96,6633.08,786.09M,0.01
6656.35,6699.16,6750.78,6426.57,911.79M,0
6769.12,6669.44,6783.36,6539.86,896.49M,0.02
6952.56,6803.45,6969.3,6770.3,806.38M,0.03
6866.25,6977.35,7008.26,6852.73,771.53M,-0.01
6960.92,6920.32,6982.52,6846.94,707.00M,0.01
7083.93,6928.49,7084.84,6887.12,750.92M,0.02
7152.62,7099.5,7212.45,7099.09,776.25M,0.01
7255.76,7149.65,7291.31,7146.09,1.08B,0.01
7197.51,7201.18,7309.99,7138.02,969.20M,-0.01
7040.80,7131.05,7144.28,6950.23,944.23M,-0.02
7207.33,6979.54,7217,6969.16,555.00M,0.02
7375.82,7251.18,7387.74,7220.23,720.23M,0.02
7350.23,7381.03,7418.43,7288.3,764.47M,0
7296.78,7335.42,7511.39,7255.32,868.30M,-0.01
7395.49,7292.72,7395.49,7158.78,860.86M,0.01
7408.30,7390.81,7498.37,7381.58,687.13M,0
7377.54,7420.18,7468.82,7308.52,799.51M,0
7485.40,7393.57,7489.54,7343.47,656.32M,0.01
7654.55,7527.37,7691.1,7512.02,696.78M,0.02
7430.26,7629.34,7643.45,7400.99,723.80M,-0.03
7545.50,7466.76,7581.3,7401.72,790.90M,0.02
7531.07,7522.59,7603.86,7427.79,1.14B,0
7627.65,7477.45,7657.8,7447.23,828.76M,0.01
7399.01,7673,7700.56,7327.44,822.64M,-0.03
7157.21,7356.54,7430.36,6892.89,1.15B,-0.03
7107.23,7129.31,7311.85,7047.47,918.90M,-0.01
6852.40,7146.03,7193.72,6743.77,1.19B,-0.04
6965.29,6954.69,7085.27,6574.74,1.27B,0.02
7039.15,6946.15,7205.96,6859.8,913.42M,0.01
6867.02,6990.37,6998.8,6702.42,1.10B,-0.02
6527.35,6832.25,6841.44,6442.36,790.56M,-0.05
6949.01,6616.79,6951.13,6590.89,1.08B,0.06
6613.27,7106.84,7106.99,6594.54,974.15M,-0.05
6594.96,6603.36,6867.66,6534.33,948.45M,0
6046.56,6570.99,6621.63,6013.98,1.70B,-0.08
6285.27,5994.08,6388.36,5895.12,878.68M,0.04
6422.67,6354.85,6445.19,6139.4,954.58M,0.02
